id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5077539435320811,Owx9Bmkbx,7331780239,陌生人先生ki了个ki,随便发发，第三集白衣秀士金池长老临门四脚#黑神话悟空#黑神话悟空超话#解说#孙悟空超话L陌生人先生ki了个ki的微博视频,,,,"黑神话悟空,解说",0,1,2,2024-09-11 22:00,微博视频号,,"http://f.video.weibocdn.com/o0/LGCsHv3qlx08hUGX8dsY0104120dstJn0E050.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726078790&ssig=wpNG6zBmKf&KID=unistore,video",,四川,普通用户
5077539437412383,Owx9Bv6iz,5820188838,追波逐影,精美木雕之雕刻黑神话悟空完整过程，心灵手巧，技艺高超啊L追波逐影的微博视频,,,,,2,1,15,2024-09-11 22:00,微博视频号,,"http://f.video.weibocdn.com/o0/Q3FTsIoXlx08hRW6aISQ01041207Vpvc0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726078790&ssig=fFSOBWvpyq&KID=unistore,video",,重庆,金V
5077539397305038,Owx9xuEnc,1862608631,红树林发球手,#微博头像挂件#我正在使用“黑神话悟空”头像挂件，你也快来戴上试试吧~O头像挂件：黑神话悟空,,,,微博头像挂件,0,0,0,2024-09-11 21:59,微博会员中心,,,,福建,普通用户
5077539376340929,Owx9vqBz3,1990613297,YYYYuanL,是谁吃到了联名月饼哦～是我#黑神话悟空##中秋#,,,,"黑神话悟空,中秋",0,0,0,2024-09-11 21:59,iPhone客户端,"https://wx2.sinaimg.cn/large/76a65931gy1htk4f8ognxj24mo3341l2.jpg,https://wx2.sinaimg.cn/large/76a65931gy1htk4fb7ct7j24mo334qv9.jpg,https://wx3.sinaimg.cn/large/76a65931gy1htk4fdniuaj24mo334u11.jpg,https://wx3.sinaimg.cn/large/76a65931gy1htk4fg9shzj24mo3341l2.jpg,https://wx4.sinaimg.cn/large/76a65931gy1htk4fiwz8hj24mo3344qu.jpg,https://wx4.sinaimg.cn/large/76a65931gy1htk4fm3w5qj23344mox6t.jpg",,,浙江,普通用户
5077539348024459,Owx9sxFwL,5992567620,数码新探,使用华为三折叠手机体验《黑神话悟空》会是怎样的感受？#华为发布会##华为三折叠手机##黑神话悟空##手机#L数码新探的微博视频,,,,"华为发布会,华为三折叠手机,黑神话悟空,手机",0,0,0,2024-09-11 21:59,微博视频号,,"http://f.video.weibocdn.com/o0/yzFXlA68lx08hWs4VeZO01041200iqqm0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726078790&ssig=TTboPy4vO%2F&KID=unistore,video",,北京,红V
5077539087451738,Owx92vgxk,1865504713,太原晚报,【当“悟空”遇上掐丝砂金工艺画】首款国产3A游戏《黑神话：悟空》持续火爆，“悟空”这一形象成为“顶流”。近日，在阳泉市城区下站街道河边街社区，47岁的董淑芳用掐丝砂金工艺画形式，活灵活现地还原了“悟空”这一艺术形象。董淑芳是阳泉市第四批市级非物质文化遗产代表性传承人，一直专注于非遗文化的传承和创新，2023年荣获“阳泉市工艺美术大师”称号。随着《黑神话：悟空》游戏在全球爆火，“跟着悟空游山西”活动成为热门话题，董淑芳萌发了用掐丝砂金工艺画还原“悟空”形象的想法。　　制作过程中，董淑芳以金丝和彩砂为原料，经过掐丝勾廓、彩砂调制、分步填砂、微混排气、密封覆膜等步骤，把“头戴凤翅紫金冠，身穿黄金锁子甲，手拿如意金箍棒”的“悟空”还原得惟妙惟肖、栩栩如生。记者9月10日在河边街社区看到，掐丝砂金工艺画“悟空”作品直径只有21.8厘米，其面部五官、毛发，以及胸前护甲、手肘龙纹、红裙内搭和腰间配饰等，都刻画得十分精细。（山西日报）,,,,,0,0,0,2024-09-11 21:58,HUAWEI P40 Pro 5G,"https://wx4.sinaimg.cn/large/6f3157c9ly1htk4evcplkj20m80cbdh9.jpg,https://wx1.sinaimg.cn/large/6f3157c9ly1htk4exg4vej20m80c7tah.jpg,https://wx2.sinaimg.cn/large/6f3157c9ly1htk4f0h31aj20jp0eh40v.jpg,https://wx4.sinaimg.cn/large/6f3157c9ly1htk4f4ngy2j20m80c3abg.jpg,https://wx1.sinaimg.cn/large/6f3157c9ly1htk4f69uquj20m80c2ac0.jpg",,,,蓝V
5077539058356232,Owx8Zz3PW,1221707263,刘继兴,#山西团队4天画140平黑神话悟空墙绘#干得不错，加油。,,,,山西团队4天画140平黑神话悟空墙绘,0,1,1,2024-09-11 21:58,HUAWEI Mate 40 Pro,,,,山西,红V
5077539050231190,Owx8Z0Y8S,7752729208,新浪AI,用《黑神话：悟空》画风打开城市地标，你AI了吗？L铁皮玩具的主人的微博视频,,,,,23,18,39,2024-09-11 21:58,微博视频号,,"http://f.video.weibocdn.com/o0/cHk2fwaslx08hWotkYqY01041200Ue7G0E010.mp4?label=mp4_720p&template=1024x576.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726078790&ssig=nbpC7Hete4&KID=unistore,video",,北京,蓝V
5077538903427465,Owx8KenDH,1865504713,太原晚报,【#山西团队4天画140平黑神话悟空墙绘#：用我们的画笔点亮我们的城市】9月11日，山西大同，大同一团队坚持近10年，义务为大同画近50幅墙绘作品，引众网友围观。团队画师袁女士介绍道，随着近日黑神话悟空火爆出圈，山西也迎来了一波文旅热，这对当地文旅来讲是一个全新的起点。团队近期围绕黑神话悟空相关题材，赶工出5幅作品，为山西文旅“上分”。袁女士表示，在创作过程中也遇到不少挫折，但是当作品完整呈现在广大市民、粉丝面前时一切付出都值得。同时，也希望让众多网友认识大同、了解大同、爱上大同。L巨浪视频的微博视频,,,,山西团队4天画140平黑神话悟空墙绘,0,0,1,2024-09-11 21:57,微博视频号,,"http://f.video.weibocdn.com/o0/ixOVQDrylx08hWdQhS48010412019jr20E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726078790&ssig=njJ%2FiG7vgZ&KID=unistore,video",,,蓝V
5077538826883076,Owx8CsSBm,5928023229,甜甜的861DL,兄弟别怕，谁欺负你告诉我，咱们人多势众。黑神话悟空L甜甜的861DL的微博视频,,,,,0,0,1,2024-09-11 21:57,微博视频号,,"http://f.video.weibocdn.com/o0/HH7RX8KVlx08hWrVl6GQ01041201KHto0E010.mp4?label=mp4_720p&template=1562x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726078790&ssig=KuEG%2FyjHvp&KID=unistore,video",,河北,黄V
